player_grad_year,player_rivals_rank,player_espn_rank,player_first_name,player_last_name,player_position,player_school,player_state,player_height,player_weight,player_potential_schools
2018,117,83,David,Dejulius,G,East English Village,MIÿ,6'1,190,Michigan
2018,118,NA,Keyontae,Johnson,G,IMG Academy,FLÿ,6'4,180,List
2018,119,NA,Jamal,Bieniemy,G,Tompkins,TXÿ,6'5,175,Oklahoma
2018,120,NA,Robert,Phinisee,G,Mccutcheon,INÿ,5'11,155,List
2018,121,NA,Race,Thompson,F,Armstrong,MNÿ,6'8,200,Indiana
2018,122,78,Alex,Lomax,G,Memphis East,TNÿ,5'11,185,List
2018,123,NA,Isaiah,Joe,G,Northside Senior,ARÿ,6'2,170,Arkansas
2018,124,NA,Bryce,Golden,F,Saint James School,MDÿ,6'7,220,Pittsburgh
2018,125,NA,Tevian,Jones,F,Chandler,AZÿ,6'6,185,List
2018,126,NA,Samba,Diallo,F,Pope John XXIII,NJÿ,6'6,190,List
2018,127,NA,Miller,Kopp,F,Houston Christian,TXÿ,6'7,210,List
2018,128,92,Ryan,Boyce,G,Houston,TNÿ,6'4,170,List
2018,129,NA,Brendan,Adams,G,Calvert Hall,MDÿ,6'3,190,List
2018,130,NA,Jake,Forrester,F,Westtown School,PAÿ,6'8,215,List
2018,131,NA,Logan,Johnson,G,St. Francis,CAÿ,6'1,165,List
2018,132,63,Emmanuel,Dowuona,C,Westwood Christian,FLÿ,6'10,220,List
2018,133,NA,Valdir,Manuel,F,The Patrick School,NJÿ,6'8,210,List
2018,134,NA,Wynston,Tabbs,G,St. Mary Ryken,MDÿ,6'3,180,List
2018,135,NA,Jeenathan,Williams,F,University Prep,NYÿ,6'6,190,List
2018,136,NA,Justin,Ahrens,F,Versailles,OHÿ,6'5,180,List
2018,137,NA,Rasir,Bolton,G,Huntington Prep,WVÿ,6'2,175,List
2018,138,NA,Jarvis,Thomas-Omersa,F,Orono,MNÿ,6'7,210,Minnesota
2018,139,94,Jared,Butler,G,Riverside Academy,LAÿ,6'2,175,List
2018,140,NA,Marcus,Zegarowski,G,Tilton School,NHÿ,6'1,170,List
2018,141,NA,Spencer,Freedman,G,Mater Dei,CAÿ,5'11,155,Harvard
2018,142,NA,Jaelin,Llewellyn,G,Virginia Episcopal,VAÿ,6'2,165,List
2018,143,99,Immanuel,Bates,C,Northwood Temple Academy,NCÿ,6'9,215,List
2018,144,NA,Dimon,Carrigan,F,Cambridge Rindge & Latin,MAÿ,6'9,212,List
2018,145,NA,Trey,Doomes,G,Allatoona,GAÿ,6'4,175,List
2018,146,NA,Jason,Wade,G,Trinity Episcopal,VAÿ,6'4,180,List
2018,147,NA,Frankie,Policelli,F,New Hartford Sr,NYÿ,6'7,192,List
2018,148,NA,Emmitt,Matthews,F,Wilson,WAÿ,6'7,180,List
2018,149,NA,Jordan,Phillips,F,Cedar Hill,TXÿ,6'6,180,List
2018,150,NA,Keyshawn,Bryant,F,Winter Haven,FLÿ,6'7,184,List
2019,1,1,R.J.,Barrett,F,Montverde Academy,FLÿ,6'7,200,List
2019,2,3,Charles,Bassey,F,St Anthony Catholic,TX,6'10,225,List
2019,3,2,Vernon,Carey,F,University High School,FLÿ,6'9,240,List
2019,4,5,James,Wiseman,F,Ensworth,TNÿ,6'10,210,List
2019,5,11,Cole,Anthony,G,Archbishop Molloy,NYÿ,6'2,180,List
2019,6,13,Bryan,Antoine,G,Ranney Prep School,NJÿ,6'4,170,List
2019,7,9,Matthew,Hurt,F,John Marshall,MNÿ,6'9,200,List
2019,8,12,Scottie,Lewis,G,Ranney Prep School,NJÿ,6'4,170,List
2019,9,25,Ashton,Hagans,G,Oak Hill Academy,VAÿ,6'4,190,List
2019,10,15,Balsa,Koprivica,C,Windermere Preparatory School,FLÿ,7'0,240,List
2019,11,14,Christian,Brown,F,A.C. Flora,SCÿ,6'6,200,List
2019,12,16,Cassius,Stanley,G,Harvard Westlake,CAÿ,6'5,170,List
2019,13,20,Precious,Achiuwa,F,St. Benedict's HS,NJÿ,6'7,200,List
2019,14,4,Chol,Marial,C,Cheshire Academy,CTÿ,7'2,220,List
2019,15,34,Armando,Bacot,F,Trinity Episcopal,VAÿ,6'10,235,List
2019,16,10,Trendon,Watford,F,Mountain Brook,AL,6'7,180,List
2019,17,43,Jeremiah,Robinson-Earl,F,Bishop Miege,KSÿ,6'8,220,List
2019,18,8,LaMelo,Ball,G,Chino Hills,CAÿ,6'2,155,UCLA
2019,19,29,Tyrese,Maxey,G,South Garland,TXÿ,6'4,185,List
2019,20,6,Onyeka,Okongwu,F,Chino Hills,CAÿ,6'8,200,List
